Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-04-01,St. Paul,Winnipeg,St. Paul,6,2,,,,,1
2010-04-01,Montreal,New Haven,New Haven,3,10,,,,,1
2010-04-01,"Washington, D.C.",Pittsburgh,Pittsburgh,2,11,,,,,1
2010-04-01,Chicago,St. Louis,Chicago,4,3,,,,,1
2010-04-01,Boston,New York,Boston,5,0,,,,,1
2010-04-02,Akron,Indianapolis,Indianapolis,0,9,,,,,1
2010-04-02,Columbus,Detroit,Detroit,0,3,,,,,1
2010-04-02,St. Paul,Winnipeg,Winnipeg,5,10,,,,,1
2010-04-02,Montreal,New Haven,New Haven,0,5,,,,,1
2010-04-02,"Washington, D.C.",Pittsburgh,"Washington, D.C.",2,1,,,,,1
2010-04-02,Chicago,St. Louis,St. Louis,4,6,,,,,1
2010-04-02,Boston,New York,New York,3,8,,,,,1
2010-04-03,Philadelphia,Toronto,Philadelphia,4,2,,,,,1
2010-04-03,Columbus,Detroit,Columbus,2,0,,,,,1
2010-04-03,St. Paul,Winnipeg,Winnipeg,2,4,,,,,1
2010-04-03,"Washington, D.C.",Pittsburgh,"Washington, D.C.",6,4,,,,,1
2010-04-03,Chicago,St. Louis,Chicago,7,6,,,,,1
2010-04-03,Boston,New York,New York,0,7,,,,,1
2010-04-04,Akron,Indianapolis,Akron,3,2,,,,,1
2010-04-04,Philadelphia,Toronto,Toronto,3,4,,,,,1
2010-04-04,Columbus,Detroit,Detroit,0,10,,,,,1
2010-04-04,St. Louis,Winnipeg,Winnipeg,3,6,,,,,1
2010-04-04,Boston,New Haven,Boston,8,7,,,,,1
2010-04-04,St. Paul,Chicago,St. Paul,6,4,,,,,1
2010-04-05,"Washington, D.C.",Toronto,Toronto,0,2,,,,,1
2010-04-05,New York,Montreal,Montreal,5,6,,,,,1
2010-04-05,Detroit,Indianapolis,Indianapolis,2,4,,,,,1
2010-04-05,Columbus,Akron,Akron,4,11,,,,,1
2010-04-05,St. Louis,Winnipeg,St. Louis,6,3,,,,,1
2010-04-05,Boston,New Haven,Boston,11,2,,,,,1
2010-04-05,St. Paul,Chicago,Chicago,0,7,,,,,1
2010-04-06,Pittsburgh,Philadelphia,Pittsburgh,13,4,,,,,1
2010-04-06,"Washington, D.C.",Toronto,"Washington, D.C.",7,1,,,,,1
2010-04-06,New York,Montreal,Montreal,2,7,,,,,1
2010-04-06,Detroit,Indianapolis,Detroit,2,1,,,,,1
2010-04-06,Columbus,Akron,Columbus,2,0,,,,,1
2010-04-06,St. Louis,Winnipeg,St. Louis,6,1,,,,,1
2010-04-06,Boston,New Haven,Boston,6,1,,,,,1
2010-04-07,Pittsburgh,Philadelphia,Pittsburgh,5,4,,,,,1
2010-04-07,"Washington, D.C.",Toronto,Toronto,7,11,,,,,1
2010-04-07,New York,Montreal,Montreal,4,8,,,,,1
2010-04-07,Detroit,Indianapolis,Detroit,5,3,,,,,1
2010-04-07,Columbus,Akron,Columbus,4,3,,,,,1
2010-04-07,Chicago,St. Paul,Chicago,2,1,,,,,1
2010-04-07,Winnipeg,St. Louis,St. Louis,7,13,,,,,1
2010-04-08,Columbus,Indianapolis,Indianapolis,2,9,,,,,1
2010-04-08,New York,New Haven,New Haven,3,10,,,,,1
2010-04-08,Detroit,Akron,Detroit,9,1,,,,,1
2010-04-08,Philadelphia,"Washington, D.C.","Washington, D.C.",0,8,,,,,1
2010-04-08,Montreal,Boston,Montreal,5,0,,,,,1
2010-04-08,Winnipeg,St. Louis,Winnipeg,6,5,,,,,1
2010-04-08,Pittsburgh,Toronto,Toronto,7,17,,,,,1
2010-04-08,Chicago,St. Paul,Chicago,13,1,,,,,1
2010-04-09,Columbus,Indianapolis,Columbus,8,7,,,,,1
2010-04-09,New York,New Haven,New Haven,2,3,,,,,1
2010-04-09,Detroit,Akron,Akron,1,3,,,,,1
2010-04-09,Philadelphia,"Washington, D.C.",Philadelphia,10,5,,,,,1
2010-04-09,Montreal,Boston,Montreal,8,2,,,,,1
