Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-04-01,Dallas,San Antonio,Dallas,3,2,,,,,1
2010-04-01,Los Angeles,Tijuana,Tijuana,2,9,,,,,1
2010-04-01,Denver,Vancouver,Vancouver,1,2,,,,,1
2010-04-01,Merida,Monterrey,Merida,4,3,,,,,1
2010-04-01,Charlotte,Atlanta,Charlotte,10,6,,,,,1
2010-04-02,Oakland,Phoenix,Phoenix,0,4,,,,,1
2010-04-02,Dallas,San Antonio,Dallas,4,3,,,,,1
2010-04-02,Los Angeles,Tijuana,Los Angeles,14,2,,,,,1
2010-04-02,Denver,Vancouver,Vancouver,2,3,,,,,1
2010-04-02,Merida,Monterrey,Merida,2,0,,,,,1
2010-04-02,Charlotte,Atlanta,Charlotte,10,5,,,,,1
2010-04-03,Nashville,Birmingham,Nashville,1,0,,,,,1
2010-04-03,Seattle,Calgary,Calgary,4,6,,,,,1
2010-04-03,Oakland,Phoenix,Phoenix,1,2,,,,,1
2010-04-03,Dallas,San Antonio,San Antonio,4,7,,,,,1
2010-04-03,Los Angeles,Tijuana,Los Angeles,7,5,,,,,1
2010-04-03,Denver,Vancouver,Denver,6,1,,,,,1
2010-04-03,Merida,Monterrey,Monterrey,3,4,,,,,1
2010-04-03,Charlotte,Atlanta,Charlotte,6,0,,,,,1
2010-04-04,Nashville,Birmingham,Nashville,6,4,,,,,1
2010-04-04,Seattle,Calgary,Seattle,6,4,,,,,1
2010-04-04,Oakland,Phoenix,Oakland,8,5,,,,,1
2010-04-04,Merida,San Antonio,Merida,6,3,,,,,1
2010-04-04,Vancouver,Denver,Vancouver,5,2,,,,,1
2010-04-05,Los Angeles,Phoenix,Phoenix,3,5,,,,,1
2010-04-05,Oakland,Tijuana,Oakland,2,0,,,,,1
2010-04-05,Nashville,Charlotte,Nashville,2,1,,,,,1
2010-04-05,Vancouver,Denver,Vancouver,6,2,,,,,1
2010-04-05,Dallas,Monterrey,Monterrey,1,4,,,,,1
2010-04-05,Merida,San Antonio,San Antonio,2,3,,,,,1
2010-04-06,Los Angeles,Phoenix,Los Angeles,8,6,,,,,1
