Date,Home,Away
2010-04-01,Winnipeg,St. Paul
2010-04-01,St. Louis,Chicago
2010-04-01,New York,New Haven
2010-04-01,Indianapolis,Detroit
2010-04-01,Philadelphia,Toronto
2010-04-02,Columbus,Akron
2010-04-02,Pittsburgh,"Washington, D.C."
2010-04-02,Montreal,Boston
2010-04-02,Winnipeg,St. Paul
2010-04-02,St. Louis,Chicago
2010-04-02,New York,New Haven
2010-04-02,Indianapolis,Detroit
2010-04-02,Philadelphia,Toronto
2010-04-03,Columbus,Akron
2010-04-03,Pittsburgh,"Washington, D.C."
2010-04-03,Montreal,Boston
2010-04-03,Winnipeg,St. Paul
2010-04-03,St. Louis,Chicago
2010-04-03,New York,New Haven
2010-04-03,Indianapolis,Detroit
2010-04-03,Philadelphia,Toronto
2010-04-04,Columbus,Akron
2010-04-04,Pittsburgh,"Washington, D.C."
2010-04-04,Montreal,Boston
2010-04-04,Winnipeg,Chicago
2010-04-05,Philadelphia,"Washington, D.C."
2010-04-05,New Haven,Montreal
2010-04-05,Detroit,Akron
2010-04-05,New York,Boston
2010-04-05,Toronto,Pittsburgh
2010-04-05,Indianapolis,Columbus
2010-04-05,St. Paul,St. Louis
2010-04-05,Winnipeg,Chicago
2010-04-06,Philadelphia,"Washington, D.C."
2010-04-06,New Haven,Montreal
2010-04-06,Detroit,Akron
2010-04-06,New York,Boston
2010-04-06,Toronto,Pittsburgh
2010-04-06,Indianapolis,Columbus
2010-04-06,St. Paul,St. Louis
2010-04-06,Winnipeg,Chicago
2010-04-07,Philadelphia,"Washington, D.C."
2010-04-07,New Haven,Montreal
2010-04-07,Detroit,Akron
2010-04-07,New York,Boston
2010-04-07,Toronto,Pittsburgh
2010-04-07,Indianapolis,Columbus
2010-04-07,St. Paul,St. Louis
2010-04-08,Chicago,St. Louis
2010-04-08,"Washington, D.C.",Pittsburgh
2010-04-08,Toronto,Philadelphia
2010-04-08,Montreal,New York
2010-04-08,Akron,Indianapolis
2010-04-08,St. Paul,Winnipeg
2010-04-08,New Haven,Boston
2010-04-08,Detroit,Columbus
2010-04-09,Chicago,St. Louis
2010-04-09,"Washington, D.C.",Pittsburgh
2010-04-09,Toronto,Philadelphia
2010-04-09,Montreal,New York
2010-04-09,Akron,Indianapolis
2010-04-09,St. Paul,Winnipeg
2010-04-09,New Haven,Boston
2010-04-09,Detroit,Columbus
2010-04-10,Chicago,St. Louis
2010-04-10,"Washington, D.C.",Pittsburgh
2010-04-10,Toronto,Philadelphia
2010-04-10,Montreal,New York
2010-04-10,Akron,Indianapolis
2010-04-10,St. Paul,Winnipeg
2010-04-10,New Haven,Boston
2010-04-10,Detroit,Columbus
2010-04-11,Chicago,Winnipeg
2010-04-11,Columbus,Indianapolis
2010-04-11,Akron,Detroit
2010-04-11,"Washington, D.C.",Toronto
2010-04-11,Boston,Montreal
2010-04-11,Pittsburgh,Philadelphia
2010-04-11,New Haven,New York
2010-04-11,St. Louis,St. Paul
2010-04-12,Chicago,Winnipeg
2010-04-12,Columbus,Indianapolis
2010-04-12,Akron,Detroit
2010-04-12,"Washington, D.C.",Toronto
2010-04-12,Boston,Montreal
2010-04-12,Pittsburgh,Philadelphia
2010-04-12,New Haven,New York
2010-04-12,St. Louis,St. Paul
2010-04-13,Chicago,Winnipeg
2010-04-13,Columbus,Indianapolis
2010-04-13,Akron,Detroit
2010-04-13,"Washington, D.C.",Toronto
2010-04-13,Boston,Montreal
2010-04-13,Pittsburgh,Philadelphia
2010-04-13,New Haven,New York
2010-04-13,St. Louis,St. Paul
2010-04-14,Boston,New York
2010-04-14,"Washington, D.C.",Philadelphia
2010-04-14,Chicago,St. Paul
2010-04-14,Akron,Columbus
2010-04-14,Pittsburgh,Toronto
2010-04-15,St. Louis,Winnipeg
2010-04-15,Montreal,New Haven
2010-04-15,Detroit,Indianapolis
2010-04-15,Boston,New York
2010-04-15,"Washington, D.C.",Philadelphia
2010-04-15,Chicago,St. Paul
2010-04-15,Akron,Columbus
2010-04-15,Pittsburgh,Toronto
2010-04-16,St. Louis,Winnipeg
2010-04-16,Montreal,New Haven
2010-04-16,Detroit,Indianapolis
2010-04-16,Boston,New York
2010-04-16,"Washington, D.C.",Philadelphia
2010-04-16,Chicago,St. Paul
2010-04-16,Akron,Columbus
2010-04-16,Pittsburgh,Toronto
2010-04-17,St. Louis,Winnipeg
2010-04-17,Montreal,New Haven
2010-04-17,Detroit,Indianapolis
2010-04-18,Boston,New Haven
2010-04-17,St. Paul,Chicago
