Date,Home,Away
2010-04-01,Nashville,Birmingham
2010-04-01,San Antonio,Monterrey
2010-04-01,Los Angeles,Oakland
2010-04-01,Calgary,Denver
2010-04-01,Dallas,Merida
2010-04-02,Charlotte,Atlanta
2010-04-02,Phoenix,Tijuana
2010-04-02,Seattle,Vancouver
2010-04-02,Nashville,Birmingham
2010-04-02,San Antonio,Monterrey
2010-04-02,Los Angeles,Oakland
2010-04-02,Calgary,Denver
2010-04-02,Dallas,Merida
2010-04-03,Charlotte,Atlanta
2010-04-03,Phoenix,Tijuana
2010-04-03,Seattle,Vancouver
2010-04-03,Nashville,Birmingham
2010-04-03,San Antonio,Monterrey
2010-04-03,Los Angeles,Oakland
2010-04-03,Calgary,Denver
2010-04-03,Dallas,Merida
2010-04-04,Charlotte,Atlanta
2010-04-04,Phoenix,Tijuana
2010-04-04,Seattle,Vancouver
2010-04-05,Oakland,Tijuana
2010-04-04,Denver,Calgary
2010-04-04,Merida,Monterrey
2010-04-05,Phoenix,Los Angeles
2010-04-05,Nashville,Atlanta
2010-04-05,Birmingham,Charlotte
2010-04-05,Vancouver,Seattle
2010-04-05,San Antonio,Dallas
2010-04-06,Oakland,Tijuana
2010-04-05,Denver,Calgary
2010-04-05,Merida,Monterrey
2010-04-06,Phoenix,Los Angeles
2010-04-06,Nashville,Atlanta
2010-04-06,Birmingham,Charlotte
2010-04-06,Vancouver,Seattle
2010-04-06,San Antonio,Dallas
2010-04-07,Oakland,Tijuana
2010-04-06,Denver,Calgary
2010-04-06,Merida,Monterrey
2010-04-07,Phoenix,Los Angeles
2010-04-07,Nashville,Atlanta
2010-04-07,Birmingham,Charlotte
2010-04-07,Vancouver,Seattle
2010-04-07,San Antonio,Dallas
2010-04-08,Monterrey,Dallas
2010-04-08,Charlotte,Nashville
2010-04-08,Los Angeles,Tijuana
2010-04-08,Denver,Seattle
2010-04-08,Oakland,Phoenix
2010-04-08,Calgary,Vancouver
2010-04-08,Merida,San Antonio
2010-04-08,Atlanta,Birmingham
2010-04-09,Monterrey,Dallas
2010-04-09,Charlotte,Nashville
2010-04-09,Los Angeles,Tijuana
2010-04-09,Denver,Seattle
2010-04-09,Oakland,Phoenix
2010-04-09,Calgary,Vancouver
2010-04-09,Merida,San Antonio
2010-04-09,Atlanta,Birmingham
2010-04-10,Monterrey,Dallas
2010-04-10,Charlotte,Nashville
2010-04-10,Los Angeles,Tijuana
2010-04-10,Denver,Seattle
2010-04-10,Oakland,Phoenix
2010-04-10,Calgary,Vancouver
2010-04-10,Merida,San Antonio
2010-04-10,Atlanta,Birmingham
2010-04-11,Tijuana,Phoenix
2010-04-11,Atlanta,Charlotte
2010-04-11,Birmingham,Nashville
2010-04-11,Calgary,Seattle
2010-04-11,Dallas,Monterrey
2010-04-11,Vancouver,Denver
2010-04-11,Oakland,Los Angeles
2010-04-11,San Antonio,Merida
2010-04-12,Tijuana,Phoenix
2010-04-12,Atlanta,Charlotte
2010-04-12,Birmingham,Nashville
2010-04-12,Calgary,Seattle
2010-04-12,Dallas,Monterrey
2010-04-12,Vancouver,Denver
2010-04-12,Oakland,Los Angeles
2010-04-12,San Antonio,Merida
2010-04-13,Tijuana,Phoenix
2010-04-13,Atlanta,Charlotte
2010-04-13,Birmingham,Nashville
2010-04-13,Calgary,Seattle
2010-04-13,Dallas,Monterrey
2010-04-13,Vancouver,Denver
2010-04-13,Oakland,Los Angeles
2010-04-13,San Antonio,Merida
2010-04-14,Phoenix,Oakland
2010-04-14,Atlanta,Nashville
2010-04-14,Tijuana,Los Angeles
2010-04-14,Seattle,Calgary
2010-04-14,Monterrey,San Antonio
2010-04-15,Merida,Dallas
2010-04-15,Denver,Vancouver
2010-04-15,Charlotte,Birmingham
2010-04-15,Phoenix,Oakland
2010-04-15,Atlanta,Nashville
2010-04-15,Tijuana,Los Angeles
2010-04-15,Seattle,Calgary
2010-04-15,Monterrey,San Antonio
2010-04-16,Merida,Dallas
2010-04-16,Denver,Vancouver
2010-04-16,Charlotte,Birmingham
