Sim Number,Standings Date,Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Port Group,1,New Haven,18,9,3,0.6666666666666666,0.531
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Port Group,2,Montreal,17,10,3,0.6296296296296297,0.525
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Port Group,3,Boston,11,20,0,0.3548387096774194,0.506
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Port Group,4,New York,10,19,2,0.3448275862068966,0.494
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Port Group,1,New Haven,21,9,0,0.7,0.531
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Port Group,2,Montreal,18,12,0,0.6,0.525
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Port Group,3,Boston,11,20,0,0.3548387096774194,0.506
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Port Group,4,New York,10,21,0,0.3225806451612903,0.494
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Canal Group,1,Toronto,19,9,3,0.6785714285714286,0.571
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Canal Group,2,Pittsburgh,17,12,2,0.5862068965517241,0.562
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Canal Group,3,"Washington, D.C.",13,18,0,0.41935483870967744,0.253
1,2010-05-03,pre Wind-up,Part 1,Founders,East Division,Canal Group,4,Philadelphia,9,20,2,0.3103448275862069,0.389
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Canal Group,1,Toronto,20,11,0,0.6451612903225806,0.571
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Canal Group,2,Pittsburgh,19,12,0,0.6129032258064516,0.562
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Canal Group,3,"Washington, D.C.",13,18,0,0.41935483870967744,0.253
1,2010-05-04,post Wind-up,Part 1,Founders,East Division,Canal Group,4,Philadelphia,10,21,0,0.3225806451612903,0.389
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Aurora Group,1,Chicago,17,10,4,0.6296296296296297,0.49
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Aurora Group,2,St. Paul,15,14,2,0.5172413793103449,0.5
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Aurora Group,3,Winnipeg,14,16,1,0.4666666666666667,0.481
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Aurora Group,4,St. Louis,12,17,2,0.41379310344827586,0.457
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Aurora Group,1,St. Paul,17,14,0,0.5483870967741935,0.5
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Aurora Group,1,Chicago,17,14,0,0.5483870967741935,0.49
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Aurora Group,3,Winnipeg,15,16,0,0.4838709677419355,0.481
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Aurora Group,4,St. Louis,13,18,0,0.41935483870967744,0.457
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Rail Group,1,Detroit,19,11,0,0.6333333333333333,0.426
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Rail Group,2,Columbus,15,14,2,0.5172413793103449,0.531
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Rail Group,3,Indianapolis,14,15,2,0.4827586206896552,0.58
1,2010-05-03,pre Wind-up,Part 1,Founders,West Division,Rail Group,4,Akron,10,16,4,0.38461538461538464,0.547
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Rail Group,1,Detroit,19,11,0,0.6333333333333333,0.426
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Rail Group,2,Indianapolis,16,15,0,0.5161290322580645,0.58
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Rail Group,3,Columbus,15,16,0,0.4838709677419355,0.531
1,2010-05-04,post Wind-up,Part 1,Founders,West Division,Rail Group,4,Akron,12,18,0,0.4,0.547
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,1,Charlotte,16,15,0,0.5161290322580645,0.438
