Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
pre Wind-up,Part 1,Founders,East Division,Port Group,1,New Haven,18,10,1,0.643,0.574
pre Wind-up,Part 1,Founders,East Division,Port Group,2,Boston,16,12,3,0.571,0.51
pre Wind-up,Part 1,Founders,East Division,Port Group,3,Montreal,12,15,2,0.444,0.377
pre Wind-up,Part 1,Founders,East Division,Port Group,4,New York,10,18,3,0.357,0.383
post Wind-up,Part 1,Founders,East Division,Port Group,1,New Haven,18,11,0,0.621,0.574
post Wind-up,Part 1,Founders,East Division,Port Group,2,Boston,18,13,0,0.581,0.51
post Wind-up,Part 1,Founders,East Division,Port Group,3,Montreal,14,15,0,0.483,0.377
post Wind-up,Part 1,Founders,East Division,Port Group,4,New York,10,21,0,0.323,0.383
pre Wind-up,Part 1,Founders,East Division,Canal Group,1,Philadelphia,18,12,2,0.6,0.512
pre Wind-up,Part 1,Founders,East Division,Canal Group,2,Toronto,17,13,1,0.567,0.549
pre Wind-up,Part 1,Founders,East Division,Canal Group,3,"Washington, D.C.",16,13,2,0.552,0.549
pre Wind-up,Part 1,Founders,East Division,Canal Group,4,Pittsburgh,8,21,3,0.276,0.475
post Wind-up,Part 1,Founders,East Division,Canal Group,1,Philadelphia,20,12,0,0.625,0.512
post Wind-up,Part 1,Founders,East Division,Canal Group,2,Toronto,17,14,0,0.548,0.549
post Wind-up,Part 1,Founders,East Division,Canal Group,3,"Washington, D.C.",16,15,0,0.516,0.549
post Wind-up,Part 1,Founders,East Division,Canal Group,4,Pittsburgh,9,23,0,0.281,0.475
pre Wind-up,Part 1,Founders,West Division,Aurora Group,1,Winnipeg,18,11,2,0.621,0.574
pre Wind-up,Part 1,Founders,West Division,Aurora Group,2,St. Louis,12,12,7,0.5,0.605
pre Wind-up,Part 1,Founders,West Division,Aurora Group,3,Chicago,12,14,5,0.462,0.586
pre Wind-up,Part 1,Founders,West Division,Aurora Group,4,St. Paul,11,16,4,0.407,0.438
post Wind-up,Part 1,Founders,West Division,Aurora Group,1,Winnipeg,19,12,0,0.613,0.574
post Wind-up,Part 1,Founders,West Division,Aurora Group,2,Chicago,15,16,0,0.484,0.586
post Wind-up,Part 1,Founders,West Division,Aurora Group,2,St. Louis,15,16,0,0.484,0.605
post Wind-up,Part 1,Founders,West Division,Aurora Group,4,St. Paul,14,17,0,0.452,0.438
pre Wind-up,Part 1,Founders,West Division,Rail Group,1,Columbus,16,13,2,0.552,0.512
pre Wind-up,Part 1,Founders,West Division,Rail Group,2,Indianapolis,15,14,2,0.517,0.494
pre Wind-up,Part 1,Founders,West Division,Rail Group,3,Detroit,14,14,4,0.5,0.549
pre Wind-up,Part 1,Founders,West Division,Rail Group,4,Akron,12,17,3,0.414,0.469
post Wind-up,Part 1,Founders,West Division,Rail Group,1,Indianapolis,17,14,0,0.548,0.494
post Wind-up,Part 1,Founders,West Division,Rail Group,1,Columbus,17,14,0,0.548,0.512
post Wind-up,Part 1,Founders,West Division,Rail Group,3,Detroit,16,16,0,0.5,0.549
post Wind-up,Part 1,Founders,West Division,Rail Group,4,Akron,13,19,0,0.406,0.469
pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,1,Birmingham,19,11,0,0.633,0.486
pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,2,Atlanta,14,15,2,0.483,0.506
pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,3,Nashville,12,18,1,0.4,0.454
pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,4,Charlotte,10,19,3,0.345,0.487
post Wind-up,Part 1,Visionaries,East Division,Ridge Group,1,Birmingham,19,11,0,0.633,0.486
post Wind-up,Part 1,Visionaries,East Division,Ridge Group,2,Atlanta,15,16,0,0.484,0.506
post Wind-up,Part 1,Visionaries,East Division,Ridge Group,3,Nashville,13,18,0,0.419,0.454
post Wind-up,Part 1,Visionaries,East Division,Ridge Group,4,Charlotte,12,20,0,0.375,0.487
pre Wind-up,Part 1,Visionaries,East Division,Desert Group,1,Merida,17,9,4,0.654,0.531
pre Wind-up,Part 1,Visionaries,East Division,Desert Group,2,San Antonio,18,11,2,0.621,0.591
pre Wind-up,Part 1,Visionaries,East Division,Desert Group,3,Monterrey,15,14,2,0.517,0.559
